country,students,countryCode,DESTINATION COUNTRIES POPULARITY
Austria,6188,AUT
Belgium,9321,BEL
Bulgaria,894,BGR
Croatia,987,HRV
Cyprus,803,CYP
Czech Republic,6868,CZE
Denmark,5779,DEN
Estonia,1302,EST
Finland,7279,FIN
France,29621,FRA
Germany,30964,GER
Greece,3004,GRE
Hungary,4764,HUN
Iceland,674,ISL
Ireland,6622,IRE
Italy,20204,ITA
Latvia,1231,LVA
Liechtenstein,68,LIE
Lithuana,2467,LTU
Luxembourg,585,LUX
Macedonia,1,MKD
Malta,1978,MLT
Netherlands,10511,NLD
Norway,4806,NOR
Poland,11693,POL
Portugal,10430,PRT
Romania,2189,ROU
Slovakia,1570,SVK
Slovenia,1911,SVN
Spain,39277,ESP
Sweden,10012,SWE
Switzerland,4235,SUI
Turkey,6818,TUR
United Kingdom,27401,GBR
