country,students,countryCode,IN 2014 STUDENTS <u>CAME FROM</u>
Austria,5793,AUT,
Belgium,7754,BEL,
Bulgaria,1757,BGR,
Croatia,1403,HRV,
Cyprus,395,CYP,
Czech Republic,7510,CZE,
Denmark,3710,DEN,
Estonia,1010,EST,
Finland,5569,FIN,
France,36759,FRA,
Germany,36257,GER,
Greece,4470,GRE,
Hungary,4025,HUN,
Iceland,237,ISL,
Ireland,2972,IRE,
Italy,26331,ITA,
Latvia,2185,LVA,
Liechtenstein,30,LIE,
Lithuana,3423,LTU,
Luxembourg,434,LUX,
Macedonia,89,MKD,
Malta,230,MLT,
Netherlands,10638,NLD,
Norway,1666,NOR,
Poland,15521,POL,
Portugal,6957,PRT,
Romania,5742,ROU,
Slovakia,3177,SVK,
Slovenia,1792,SVN,
Spain,37235,ESP,
Sweden,3720,SWE,
Switzerland,3036,SUI,
Turkey,15060,TUR,
United Kingdom,15610,GBR,
